Geographic Area Name,Geography,Total!!Estimate!!Population 16 years and over,In labor force!!Estimate!!Population 16 years and over,Employed!!Estimate!!Population 16 years and over,Unemployment rate!!Estimate!!Population 16 years and over,Total!!Estimate!!AGE!!16 to 19 years,In labor force!!Estimate!!AGE!!16 to 19 years,Employed!!Estimate!!AGE!!16 to 19 years,Unemployment rate!!Estimate!!AGE!!16 to 19 years,Total!!Estimate!!AGE!!20 to 24 years,In labor force!!Estimate!!AGE!!20 to 24 years,Employed!!Estimate!!AGE!!20 to 24 years,Unemployment rate!!Estimate!!AGE!!20 to 24 years,Total!!Estimate!!AGE!!25 to 44 years,In labor force!!Estimate!!AGE!!25 to 44 years,Employed!!Estimate!!AGE!!25 to 44 years,Unemployment rate!!Estimate!!AGE!!25 to 44 years,Total!!Estimate!!AGE!!45 to 54 years,In labor force!!Estimate!!AGE!!45 to 54 years,Employed!!Estimate!!AGE!!45 to 54 years,Unemployment rate!!Estimate!!AGE!!45 to 54 years,Total!!Estimate!!AGE!!55 to 64 years,In labor force!!Estimate!!AGE!!55 to 64 years,Employed!!Estimate!!AGE!!55 to 64 years,Unemployment rate!!Estimate!!AGE!!55 to 64 years,Total!!Estimate!!AGE!!65 to 74 years,In labor force!!Estimate!!AGE!!65 to 74 years,Employed!!Estimate!!AGE!!65 to 74 years,Unemployment rate!!Estimate!!AGE!!65 to 74 years,Total!!Estimate!!AGE!!75 years and over,In labor force!!Estimate!!AGE!!75 years and over,Employed!!Estimate!!AGE!!75 years and over,Unemployment rate!!Estimate!!AGE!!75 years and over,Total!!Estimate!!Population 20 to 64 years,In labor force!!Estimate!!Population 20 to 64 years,Employed!!Estimate!!Population 20 to 64 years,Unemployment rate!!Estimate!!Population 20 to 64 years,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,In labor force!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Employed!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level,Unemployment rate!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level
"Cheyenne, WY",310M200US16940,74330,68.1,61.8,5.1,4726,47.3,35.4,19.4,6930,79.9,60.7,10.2,24809,86.9,78.4,4.9,12910,85.1,81.9,3.3,12259,66.9,65.2,2.4,7176,25.8,25.0,2.9,5520,4.8,4.8,0.0,56908,81.3,74.2,4.6,5409,55.5,43.2,21.9
"Chicago-Naperville-Elgin, IL-IN-WI",310M200US16980,7468164,67.5,60.3,10.5,531539,37.5,24.9,32.2,638185,76.0,62.4,17.1,2673512,84.6,76.5,9.4,1355583,83.3,76.2,8.5,1121144,67.9,62.4,8.1,636129,27.4,25.5,6.8,512072,5.9,5.6,6.2,5788424,80.1,72.2,9.7,707892,55.9,36.4,34.9
"Chico, CA",310M200US17020,181730,56.0,48.6,13.1,13858,32.8,21.4,34.8,26049,69.5,58.4,15.9,49566,77.4,67.8,11.8,27080,72.8,64.5,11.3,29467,54.8,49.3,10.0,19065,20.8,18.8,9.8,16645,6.0,5.4,10.2,132162,69.9,61.2,12.2,30281,51.0,37.3,26.9
"Cincinnati, OH-KY-IN",310M200US17140,1667896,66.3,60.7,8.4,116809,44.3,34.0,23.2,144311,77.6,67.1,13.5,551813,84.0,77.4,7.8,312709,82.1,76.6,6.7,267812,65.1,61.3,5.9,152212,26.5,25.1,5.3,122230,6.2,5.9,4.4,1276645,78.9,72.7,7.8,162225,52.9,36.0,31.9
"Clarksville, TN-KY",310M200US17300,203488,64.3,49.5,10.7,14725,41.9,25.6,31.0,26238,77.7,45.5,17.5,81244,78.1,58.1,10.3,30959,73.9,66.9,6.8,24670,58.1,54.9,5.5,15100,20.8,19.9,4.2,10552,5.1,5.0,2.6,163111,74.2,57.3,9.9,23709,50.1,33.5,29.6
"Cleveland, TN",310M200US17420,94198,59.3,52.6,11.3,6333,41.0,30.4,25.8,8378,75.0,57.4,23.6,29651,81.0,72.7,10.1,16770,76.8,70.5,8.2,14904,52.8,49.4,6.5,10773,16.3,14.8,9.2,7389,6.9,6.5,6.5,69703,73.2,65.3,10.7,12224,57.0,37.6,33.9
"Cleveland-Elyria, OH",310M200US17460,1660319,64.4,58.0,9.9,110993,45.3,32.0,29.4,124965,78.9,65.7,16.7,500069,84.5,76.5,9.4,310948,81.9,75.8,7.4,285768,66.4,61.8,7.0,171636,25.8,24.3,5.6,155940,5.7,5.5,4.3,1221750,79.0,71.8,9.1,168830,53.5,33.5,37.4
"Coeur d'Alene, ID",310M200US17660,112065,62.2,56.1,9.5,7090,46.3,31.7,31.6,8876,80.9,69.5,13.8,34762,82.6,76.1,7.7,19564,80.5,74.6,6.7,19397,61.6,56.0,9.1,13111,18.2,16.3,10.4,9265,4.9,4.8,2.0,82599,77.0,70.3,8.4,10385,57.1,39.5,30.8
"College Station-Bryan, TX",310M200US17780,190854,62.4,57.4,7.9,20010,33.4,24.2,27.7,47268,63.7,58.0,8.8,58424,79.5,73.8,6.8,23512,78.2,73.5,5.9,19693,67.9,65.0,4.2,12242,28.6,27.4,4.2,9705,6.6,6.6,0.3,148897,72.8,67.6,6.9,40546,54.8,45.0,17.9
"Colorado Springs, CO",310M200US17820,517370,68.4,57.2,9.3,37778,45.7,26.5,30.7,54557,81.9,53.2,17.9,181425,83.1,69.5,7.7,93668,82.0,75.6,6.3,77289,66.0,61.5,6.6,43202,27.3,25.0,8.3,29451,5.3,5.1,4.8,406939,79.4,67.2,8.4,45106,57.8,41.9,26.8
"Columbia, MO",310M200US17860,137079,68.9,65.0,5.6,12813,39.6,32.8,17.2,26473,72.8,67.8,6.8,44356,85.8,81.6,4.7,19564,84.1,80.4,4.3,17415,70.1,67.1,4.2,9145,32.8,32.0,2.6,7313,5.9,5.6,4.7,107808,79.8,75.7,5.0,23561,61.3,52.8,13.8
"Columbia, SC",310M200US17900,625942,65.7,57.3,9.9,48891,43.5,24.5,31.6,67618,75.3,58.7,16.1,208383,83.9,73.8,9.1,108301,80.7,74.5,7.3,95949,62.7,58.8,6.1,57460,24.7,23.3,5.8,39340,6.2,6.1,2.4,480251,77.7,68.8,9.1,72201,56.4,38.5,31.6
"Columbus, GA-AL",310M200US17980,241147,62.7,49.9,11.3,19674,43.8,16.6,39.4,24554,74.5,43.5,21.0,84964,80.8,65.1,9.8,40472,74.4,67.4,8.6,34869,57.3,53.4,6.6,20714,23.0,20.9,8.9,15900,5.0,4.8,3.3,184859,74.1,60.5,10.2,28727,51.9,35.3,31.4
"Columbus, IN",310M200US18020,61476,65.5,61.6,5.6,4050,45.7,35.8,21.6,4570,80.9,72.8,8.6,21066,85.8,81.9,4.2,10689,82.4,78.1,4.7,9703,61.7,58.8,4.8,6454,23.9,23.2,2.9,4944,6.6,6.4,3.4,46028,79.4,75.2,4.9,5215,55.7,45.6,18.3
"Columbus, OH",310M200US18140,1523642,67.8,62.6,7.6,104393,41.3,31.1,24.6,139617,76.0,66.6,12.3,559228,84.8,78.9,6.8,273568,81.5,76.9,5.7,226229,65.5,62.0,5.3,127153,25.7,24.6,4.5,93454,6.3,6.2,2.3,1198642,79.4,73.8,6.9,163594,53.3,37.7,29.3
"Corpus Christi, TX",310M200US18580,339131,63.2,58.1,7.2,25515,37.3,27.9,25.1,31326,76.4,65.8,11.6,111968,81.1,74.7,6.6,58724,79.4,75.2,5.0,53148,62.7,59.9,4.4,32927,24.7,23.8,3.9,25523,7.7,7.6,2.0,255166,76.3,70.6,6.5,37729,53.7,42.5,20.8
"Corvallis, OR",310M200US18700,73149,59.4,54.3,8.7,7407,33.4,24.9,25.4,14284,59.1,52.2,11.8,19204,79.8,74.8,6.2,9831,81.3,74.8,8.0,11076,66.7,62.5,6.2,6231,26.9,25.8,4.0,5116,3.5,3.0,14.1,54395,72.0,66.3,7.8,14277,52.7,43.7,17.1
"Crestview-Fort Walton Beach-Destin, FL",310M200US18880,198947,63.4,54.7,8.1,11501,48.5,35.3,20.6,17849,82.0,58.1,13.0,64293,81.3,69.1,7.0,36389,78.4,72.5,6.9,31502,60.8,56.9,6.3,21585,23.0,21.3,7.4,15828,6.5,5.9,10.1,150033,76.4,66.1,7.5,18745,56.1,39.5,29.0
"Cumberland, MD-WV",310M200US19060,85342,52.8,47.3,10.4,6163,35.9,25.1,30.1,8237,68.8,59.0,14.2,24208,71.1,63.6,10.6,14346,73.4,67.1,8.6,13586,54.4,51.2,5.9,10219,16.7,16.1,3.2,8583,3.8,3.6,5.6,60377,67.6,61.0,9.7,9534,46.6,30.7,34.2
"Dallas-Fort Worth-Arlington, TX",310M200US19100,5074617,69.2,63.8,7.6,371652,37.7,28.3,25.0,450374,76.7,66.2,13.5,1972141,83.3,77.8,6.5,939016,82.4,77.6,5.8,698764,68.3,64.2,6.0,384550,29.9,28.1,5.8,258120,6.8,6.6,4.2,4060295,79.8,74.1,7.0,505528,56.3,42.6,24.3
"Dalton, GA",310M200US19140,108120,63.0,55.5,11.8,7934,35.6,23.0,35.4,9817,80.8,66.2,18.0,38250,79.9,70.4,11.7,19561,75.0,69.6,7.2,15596,61.0,55.7,8.8,9849,20.3,19.0,6.3,7113,8.5,8.3,3.3,83224,75.3,67.0,11.0,15347,53.9,35.0,35.0
"Danville, IL",310M200US19180,63364,58.4,51.5,11.9,4172,34.6,26.7,22.9,4847,75.1,57.5,23.4,18796,80.2,71.2,11.1,11181,76.9,67.7,11.9,10907,58.4,55.1,5.7,7285,20.7,19.1,7.7,6176,6.0,5.6,6.0,45731,73.7,65.1,11.6,7796,54.5,32.4,40.6
"Daphne-Fairhope-Foley, AL",310M200US19300,152829,60.0,54.7,8.6,9343,40.9,32.8,19.8,10219,80.7,71.8,11.0,46166,82.0,75.0,8.1,27038,78.9,71.9,8.4,26281,59.8,55.5,7.1,19971,20.3,19.2,5.3,13811,4.7,4.6,1.7,109704,75.8,69.3,8.3,13921,52.4,38.1,27.2
"Davenport-Moline-Rock Island, IA-IL",310M200US19340,302853,64.5,60.0,6.8,19621,46.0,37.4,18.5,23437,78.0,69.7,10.7,94883,85.1,79.3,6.5,53454,83.7,79.3,5.0,51615,65.8,62.2,5.4,32263,22.8,22.2,2.7,27580,4.3,4.2,2.5,223389,79.6,74.3,6.4,26310,53.6,40.0,25.3
"Dayton, OH",310M200US19380,641160,62.4,55.7,9.8,43259,42.4,29.5,30.2,57754,76.0,63.2,14.9,195663,82.1,72.9,9.6,112876,80.2,73.8,7.5,106011,63.2,59.4,6.1,67466,24.5,23.2,5.5,58131,5.7,5.6,2.3,472304,76.7,68.9,9.1,71661,54.0,37.1,31.4
"Decatur, AL",310M200US19460,122016,60.1,53.4,11.0,7592,46.9,31.5,32.8,9504,78.6,63.1,19.8,38744,78.5,70.0,10.6,22993,76.2,70.3,7.6,20107,54.9,51.8,5.6,13602,20.1,18.8,6.4,9474,5.8,5.4,6.2,91348,72.7,65.4,10.0,12751,50.7,31.7,37.4
"Decatur, IL",310M200US19500,87850,63.0,55.4,11.9,5793,50.6,32.6,35.6,7346,80.6,67.0,16.9,25468,84.6,74.1,12.0,15052,79.7,73.0,8.5,15503,65.2,60.7,6.7,9671,24.9,22.7,8.9,9017,4.6,4.4,4.3,63369,78.2,69.7,10.7,10517,62.2,39.0,37.3
"Deltona-Daytona Beach-Ormond Beach, FL",310M200US19660,501323,51.4,46.0,10.5,28548,30.5,22.1,27.6,36536,65.5,54.1,17.0,126506,76.4,69.1,9.4,84195,74.2,68.2,8.0,88642,55.8,50.5,9.5,73895,18.8,16.9,10.2,63001,4.2,3.8,10.1,335879,69.2,62.3,9.8,58187,43.1,29.1,32.4
"Denver-Aurora-Lakewood, CO",310M200US19740,2074181,71.1,65.6,7.5,127840,43.1,32.2,25.1,165230,81.2,71.0,12.1,804600,85.9,80.3,6.3,374234,84.4,79.0,6.3,314518,69.6,65.1,6.5,168630,30.0,28.1,6.4,119129,6.5,6.1,5.4,1658582,82.0,76.2,6.9,178243,57.7,42.7,25.9
"Des Moines-West Des Moines, IA",310M200US19780,454200,72.8,68.6,5.6,30134,54.0,44.6,17.4,36469,85.8,76.4,10.8,170557,88.7,84.5,4.5,81077,87.0,83.3,4.0,67354,71.2,68.3,4.2,38034,29.7,28.3,4.6,30575,7.2,7.0,3.0,355457,84.7,80.3,5.0,35254,59.6,44.9,24.6
"Detroit-Warren-Dearborn, MI",310M200US19820,3408799,62.6,54.7,12.6,233849,41.2,27.6,33.0,272523,77.3,61.3,20.7,1078418,82.5,72.6,11.9,654763,79.4,71.7,9.6,570935,59.1,53.8,9.0,326735,20.6,18.9,8.6,271576,4.7,4.4,7.6,2576639,76.0,67.0,11.7,392537,53.6,31.4,41.3
"Dothan, AL",310M200US20020,116643,58.4,53.0,8.9,7188,33.4,24.7,26.2,8692,76.4,63.5,16.9,36878,80.4,72.1,9.4,20447,73.6,69.0,6.0,19494,55.8,53.4,4.1,13699,21.1,20.3,3.9,10245,6.0,5.8,2.9,85511,72.8,66.2,8.5,13905,48.8,34.2,29.9
"Dover, DE",310M200US20100,130957,64.2,56.3,9.6,9276,35.8,25.2,27.9,13063,79.2,59.8,18.9,41659,84.9,73.5,9.0,23074,81.3,75.8,6.6,19516,63.6,60.4,5.0,14305,22.2,21.2,4.5,10064,7.0,6.3,10.6,97312,79.0,69.6,9.0,11019,53.2,34.9,33.7
"Dubuque, IA",310M200US20220,75499,69.4,66.1,4.7,5663,55.5,47.3,14.7,6656,84.6,78.8,6.8,22432,89.7,85.9,4.1,13543,87.3,83.9,3.9,12396,73.1,71.1,2.6,7463,27.3,26.3,3.5,7346,7.7,7.3,4.6,55027,84.7,81.2,4.1,5702,62.4,50.4,19.2
"Duluth, MN-WI",310M200US20260,229909,62.5,57.5,7.8,16045,49.3,38.8,21.3,22888,78.0,69.5,10.7,64642,84.2,77.4,7.8,39902,82.5,77.6,5.9,41186,61.0,58.0,4.9,23797,19.5,18.8,3.5,21449,3.7,3.5,6.4,168618,77.3,71.6,7.1,27886,56.2,43.9,21.9
"Durham-Chapel Hill, NC",310M200US20500,423279,65.4,59.8,8.5,31683,29.5,21.7,26.6,44309,67.1,57.5,14.0,150175,82.5,76.3,7.4,69722,83.0,76.8,7.4,63474,68.7,64.3,6.4,36774,28.3,27.2,3.6,27142,6.3,6.2,1.2,327680,77.9,71.5,8.0,54317,54.6,40.4,25.8
"East Stroudsburg, PA",310M200US20700,136421,64.0,55.1,13.7,11747,41.6,27.8,32.8,12280,77.8,58.6,24.7,36846,84.7,75.0,11.4,28723,80.2,71.2,11.0,23432,62.2,56.2,9.5,13869,25.8,22.9,11.4,9524,4.2,3.4,19.5,101281,77.4,67.6,12.6,12244,56.8,35.3,37.9
"Eau Claire, WI",310M200US20740,132390,68.3,64.0,6.1,10168,51.5,43.3,15.9,15933,84.2,78.4,6.9,40622,86.4,81.3,5.7,22160,85.0,81.2,4.5,20604,67.3,64.0,5.0,12133,26.8,25.4,5.1,10770,6.0,5.7,6.3,99319,81.8,77.2,5.5,13626,65.8,55.2,16.2
"El Centro, CA",310M200US20940,131820,53.9,43.9,18.1,11288,23.3,12.5,46.3,14544,62.2,39.4,34.9,46571,68.9,57.6,15.9,21958,69.5,60.8,12.4,17638,55.0,47.6,13.5,10648,18.0,16.3,9.2,9173,4.3,4.0,5.4,100711,65.6,53.9,17.3,18558,56.2,33.3,40.7
"Elizabethtown-Fort Knox, KY",310M200US21060,116775,63.9,53.0,9.8,8095,48.7,28.9,30.4,10710,81.6,55.6,14.8,40444,78.5,62.7,11.0,21953,77.0,71.6,4.8,17775,58.8,55.0,6.0,10343,22.6,22.0,2.7,7455,6.3,5.7,9.6,90882,74.7,62.5,8.9,11207,47.5,32.6,30.0
"Elkhart-Goshen, IN",310M200US21140,149333,66.5,60.7,8.7,11219,45.4,35.5,22.0,12628,79.6,69.5,12.6,50738,82.8,75.3,8.9,26415,81.0,76.4,5.6,23012,70.5,66.1,6.2,13555,28.1,25.8,8.3,11766,6.7,6.6,2.0,112793,79.5,73.0,8.1,15782,56.7,38.7,31.8
"Elmira, NY",310M200US21300,71337,57.9,54.3,6.1,4525,37.6,31.5,16.2,5925,67.9,61.3,9.7,21311,75.5,71.0,5.9,13177,76.0,72.5,4.6,12301,61.2,58.3,4.7,7299,22.4,20.9,6.4,6799,4.7,4.6,1.6,52714,71.4,67.3,5.7,7184,48.5,38.3,21.0
"El Paso, TX",310M200US21340,614194,60.4,52.3,9.0,54611,29.6,19.9,29.3,68902,68.4,50.9,15.9,221167,77.6,67.3,7.7,100801,77.2,72.0,5.7,80177,57.6,53.6,6.8,48097,21.0,19.8,5.6,40439,4.4,4.1,7.7,471047,72.8,63.6,8.1,88470,52.2,41.8,19.2
"Erie, PA",310M200US21500,225520,62.0,56.6,8.5,17449,44.6,34.4,22.9,21847,73.1,63.2,13.2,67064,81.4,74.3,8.7,39314,79.0,74.7,5.4,37675,64.4,61.2,5.0,22077,22.2,20.8,6.5,20094,5.4,5.2,4.4,165900,75.9,70.0,7.8,24994,47.5,35.5,25.3
"Eugene, OR",310M200US21660,294200,59.7,53.1,11.1,20290,37.5,26.7,28.7,34513,68.8,59.1,14.1,85386,80.7,71.6,11.2,45587,78.6,71.2,9.4,51033,60.9,56.3,7.5,32412,22.8,21.5,5.6,24979,4.8,4.3,10.6,216519,73.7,65.9,10.5,47538,53.0,38.7,27.1
"Evansville, IN-KY",310M200US21780,249050,64.0,59.5,7.0,15950,43.0,34.8,19.2,21927,75.4,67.7,10.1,77752,84.4,78.1,7.2,44998,79.2,74.8,5.5,42052,65.1,62.1,4.6,25067,25.0,24.1,3.6,21304,5.3,5.3,1.1,186729,77.7,72.5,6.6,25185,53.1,38.6,27.3
"Fairbanks, AK",310M200US21820,76989,73.3,60.4,8.2,5357,49.7,32.8,23.1,11255,82.9,56.8,12.2,29675,84.7,68.7,6.8,12366,83.1,78.7,4.6,11138,64.5,58.7,8.9,4745,33.2,30.5,8.2,2453,9.2,9.2,0.0,64434,80.6,66.8,7.5,4764,57.4,38.0,32.0
"Fargo, ND-MN",310M200US22020,174404,75.0,71.9,3.9,14062,54.7,47.6,13.1,26163,84.0,78.7,6.0,61280,90.4,87.3,3.1,26141,88.0,85.5,2.6,23240,76.9,75.1,2.3,11920,33.2,32.5,1.9,11598,7.7,7.5,2.8,136824,86.4,83.3,3.4,17433,63.9,56.5,11.5
"Farmington, NM",310M200US22140,95589,59.4,53.9,9.0,7144,27.3,21.6,20.3,8948,67.4,56.0,15.7,32653,75.2,67.6,9.8,16687,73.5,67.4,8.0,15158,60.2,58.3,3.1,8453,29.8,29.0,2.7,6546,5.8,5.6,3.9,73446,70.7,64.2,8.9,13325,47.5,33.4,29.7
"Fayetteville, NC",310M200US22180,284054,65.1,47.3,13.1,20827,35.9,19.0,40.4,34728,78.7,41.4,22.9,108778,80.9,55.4,12.6,46046,75.7,66.8,7.9,37264,57.3,52.6,7.7,21521,22.3,20.8,6.5,14890,6.6,6.5,1.5,226816,75.6,55.1,12.1,33712,54.0,34.1,35.7
"Fayetteville-Springdale-Rogers, AR-MO",310M200US22220,369035,64.6,60.5,6.2,28928,33.2,26.8,19.4,37995,73.8,65.9,10.5,136076,82.4,77.6,5.5,60357,78.9,75.2,4.7,49287,64.2,62.0,3.4,32232,24.6,23.6,4.2,24160,5.6,5.5,3.1,283715,77.3,72.8,5.7,42551,53.6,43.0,19.7
"Flagstaff, AZ",310M200US22380,108682,65.4,59.0,9.7,12223,41.0,25.6,37.7,17159,73.3,63.6,13.1,33403,82.1,76.6,6.5,16588,79.1,74.1,6.4,15828,64.4,60.6,6.0,8504,28.7,27.6,3.8,4977,5.9,5.8,1.7,82978,76.3,70.4,7.7,18531,58.8,49.2,16.3
"Flint, MI",310M200US22420,329854,56.7,47.9,15.5,23471,35.4,22.4,36.8,26984,71.0,53.4,24.8,101116,81.4,68.2,16.1,61532,74.0,65.7,11.2,55379,46.9,42.7,9.2,33561,14.5,13.2,9.3,27811,3.4,3.3,4.1,245011,70.6,60.2,14.7,48635,52.0,30.3,41.7
"Florence, SC",310M200US22500,162042,60.0,51.3,14.4,10888,33.1,18.7,43.5,14254,74.2,56.7,23.6,50620,80.4,68.9,14.1,28508,76.7,67.5,11.8,28035,56.2,51.1,8.9,17715,23.3,22.3,4.4,12022,4.7,4.6,2.6,121417,73.2,63.0,13.8,23144,54.4,30.3,44.3
"Florence-Muscle Shoals, AL",310M200US22520,119857,56.1,51.2,8.6,8028,32.8,24.9,24.0,11060,72.5,63.9,12.0,34305,80.1,73.1,8.7,20445,72.8,67.7,6.9,20072,55.9,52.8,5.7,14505,16.8,15.7,6.7,11442,4.3,4.3,0.0,85882,71.8,65.9,8.1,14728,48.1,35.5,26.2
"Fond du Lac, WI",310M200US22540,81711,69.1,64.4,6.7,5294,61.6,50.4,18.2,6262,88.0,78.3,10.9,24607,88.4,83.3,5.7,15589,88.3,83.2,5.7,13950,69.9,67.2,4.0,8257,23.6,21.9,7.2,7752,5.6,5.5,2.1,60408,84.1,79.0,5.9,5379,61.5,43.1,30.0
"Fort Collins, CO",310M200US22660,253943,68.1,62.9,7.5,19407,43.5,32.2,25.8,33200,73.9,65.7,10.7,80744,86.4,81.0,6.1,40453,85.6,80.7,5.8,39904,69.9,66.1,5.4,23293,27.9,26.3,5.7,16942,6.5,6.3,4.0,194301,80.7,75.2,6.6,29130,60.0,48.8,18.4
"Fort Smith, AR-OK",310M200US22900,218432,57.2,52.4,8.3,14743,36.5,25.9,29.0,18256,72.4,62.7,13.1,70247,76.5,69.5,8.8,39218,71.9,68.4,4.9,35085,54.3,52.1,3.9,23950,19.0,18.3,3.9,16933,5.1,5.0,3.3,162806,70.1,64.7,7.5,30930,43.8,33.4,23.8
"Fort Wayne, IN",310M200US23060,323597,66.4,60.7,8.5,23372,41.9,30.9,26.1,27752,80.9,70.0,13.3,108026,84.0,77.3,7.8,57877,81.6,76.1,6.6,52040,67.9,63.9,5.8,29679,26.2,24.9,4.9,24851,6.7,6.3,4.6,245695,79.7,73.4,7.8,32037,55.7,38.8,30.3
"Fresno, CA",310M200US23420,702056,61.2,52.3,14.3,60810,28.1,17.9,36.3,78538,69.8,55.5,20.4,253363,77.3,66.5,13.8,114615,76.3,67.5,11.5,94166,61.3,55.2,10.0,55379,24.1,22.1,8.4,45185,6.8,6.4,5.4,540682,73.2,63.1,13.6,125469,55.1,37.6,31.7
"Gadsden, AL",310M200US23460,83490,54.1,48.1,10.7,5256,29.2,22.0,24.0,6598,73.2,56.7,22.5,25829,75.9,66.4,11.9,14444,67.3,63.0,6.4,14198,50.9,48.3,5.0,9767,18.6,18.0,3.0,7398,5.4,5.1,5.3,61069,67.8,60.4,10.6,10625,45.2,27.9,38.3
"Gainesville, FL",310M200US23540,225440,58.8,53.5,8.9,20204,22.8,17.0,25.4,44935,57.5,49.7,13.5,67155,80.7,74.7,7.3,30330,77.2,71.5,7.3,30610,61.7,57.9,6.3,18275,26.0,25.1,3.6,13931,6.0,5.5,8.0,173030,70.7,64.6,8.5,44906,47.6,35.6,25.3
"Gainesville, GA",310M200US23580,140254,64.2,58.2,9.2,10175,34.1,24.3,28.8,12522,75.4,64.8,13.6,49737,82.1,75.0,8.6,24854,80.1,73.9,7.6,19905,64.1,60.2,6.0,13526,23.4,22.2,5.1,9535,4.7,4.6,2.7,107018,77.5,70.8,8.5,17474,58.6,41.7,28.9
"Gettysburg, PA",310M200US23900,82756,65.1,61.1,6.0,6082,41.6,32.8,21.1,6753,78.6,69.7,11.3,22711,86.0,81.9,4.5,15720,86.3,82.2,4.7,14276,69.2,66.4,4.2,9365,26.7,25.4,5.0,7849,6.8,6.2,8.3,59460,81.2,76.8,5.2,4984,52.4,40.1,23.5
"Glens Falls, NY",310M200US24020,106067,62.0,56.8,8.2,6420,43.2,31.8,26.5,7663,74.1,63.5,14.3,30205,82.3,75.4,8.1,20621,81.4,76.7,5.8,18865,62.8,59.5,5.2,12348,24.8,23.2,6.7,9945,7.0,6.5,7.2,77354,76.5,70.7,7.5,8697,54.2,37.6,30.3
"Goldsboro, NC",310M200US24140,96971,63.3,52.4,12.8,6359,46.8,24.7,44.2,9555,80.9,57.4,18.0,31745,81.7,65.9,13.6,17015,76.6,70.0,7.6,15340,59.2,55.4,6.4,9675,21.3,20.0,5.7,7282,7.4,7.1,4.8,73655,75.7,63.5,11.5,13708,60.4,40.3,32.7
"Grand Forks, ND-MN",310M200US24220,80863,70.0,65.5,4.5,7072,47.6,39.8,14.2,13733,78.0,68.9,6.4,23489,88.0,82.7,3.8,12433,87.1,84.3,2.9,11419,75.3,73.1,2.9,6615,30.3,29.3,3.3,6102,7.4,7.4,0.0,61074,83.2,78.1,4.0,9914,62.6,53.6,14.3
"Grand Island, NE",310M200US24260,64076,71.4,67.2,5.8,4632,60.5,50.7,16.1,4727,89.1,76.4,14.3,20356,89.1,84.7,5.0,11537,88.0,84.8,3.6,10314,72.3,69.4,4.0,6341,37.2,36.6,1.6,6169,9.7,9.7,0.0,46934,85.2,80.5,5.4,5859,59.4,45.1,24.2
"Grand Junction, CO",310M200US24300,117078,63.2,57.4,9.2,7969,46.0,35.2,23.4,10382,74.8,64.9,13.3,36055,83.8,76.4,8.8,19473,79.3,73.5,7.3,19780,66.3,62.0,6.5,12725,24.7,23.1,6.5,10694,5.6,5.4,4.0,85690,77.6,71.0,8.5,13117,52.4,34.8,33.7
"Grand Rapids-Wyoming, MI",310M200US24340,781544,67.1,61.2,8.7,60975,45.2,33.3,26.4,76763,80.8,72.0,10.8,259154,85.0,78.0,8.1,140913,82.8,77.2,6.7,119487,66.0,61.8,6.3,67308,24.2,22.8,5.9,56944,4.8,4.4,7.5,596317,80.1,73.8,7.8,77973,59.9,42.9,28.5
"Grants Pass, OR",310M200US24420,68903,47.7,41.1,13.7,4194,29.9,19.1,36.1,4243,68.4,57.8,15.5,16180,74.1,63.3,14.5,11173,71.0,61.2,13.9,13689,48.8,44.2,9.4,10857,16.2,15.0,7.4,8567,4.0,3.9,2.6,45285,65.2,56.5,13.3,9691,44.5,26.8,39.7
"Great Falls, MT",310M200US24500,65443,63.9,56.5,5.5,4105,44.7,32.4,23.0,6218,83.0,58.7,9.8,20107,83.8,73.5,4.2,11069,80.0,75.8,4.6,10713,65.8,63.4,3.6,7104,24.4,24.1,1.1,6127,5.3,5.1,2.5,48107,78.8,69.9,4.8,6227,56.4,48.3,13.8
"Greeley, CO",310M200US24540,200117,68.0,62.8,7.5,15716,39.3,29.7,24.3,19505,78.8,69.0,12.4,73087,82.4,77.1,6.2,34706,84.8,80.0,5.6,29589,66.6,63.3,4.9,16464,27.8,25.1,9.6,11050,6.0,5.5,7.5,156887,79.5,74.1,6.6,18958,59.9,47.3,21.1
"Green Bay, WI",310M200US24580,244440,68.9,64.1,6.9,16695,54.5,45.3,16.9,20093,81.7,70.9,13.1,79985,86.5,81.2,6.1,47179,86.8,82.7,4.6,39385,67.9,63.9,5.8,22279,22.8,21.9,4.2,18824,5.4,5.1,4.5,186642,82.1,76.8,6.4,18406,59.5,42.8,28.0
"Greensboro-High Point, NC",310M200US24660,586045,63.4,56.7,10.4,41986,29.8,19.5,34.6,53190,72.3,60.8,15.9,191270,83.4,75.3,9.6,105196,79.8,72.5,9.1,91697,64.5,60.1,6.9,58062,25.4,23.7,6.6,44644,6.9,6.4,6.7,441353,77.3,69.7,9.7,72234,55.2,37.6,31.9
"Greenville, NC",310M200US24780,138169,66.3,58.0,12.1,12748,36.4,21.3,40.9,23415,71.2,57.1,19.6,44902,85.5,77.0,9.3,20507,82.7,77.0,6.8,18283,63.3,58.2,8.0,10648,27.5,25.2,8.3,7666,5.3,5.0,5.4,107107,78.0,69.5,10.7,24925,59.0,41.3,30.1
